tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
133P04532,PALMER WASILLA HWY/REILEY AVE,EASTBOUND,AK-3/E PARKS HWY,AK,MATANUSKA-SUSITNA,99654,61.5769376,-149.4096552,61.5773932,-149.4088888,0.040321,1.0,America/Anchorage,P1,USA,141,4,N,3,99998,2,0,4,0,10,10,,12924,752,17,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04520,S VINE RD,NORTHBOUND,W HOLLYWOOD RD,AK,MATANUSKA-SUSITNA,99623,61.532358,-149.601346,61.541626,-149.601696,0.642454,1.0,America/Anchorage,P1,USA,137,5,N,3,99998,2,0,2,0,10,10,,14890,382,117,1,1,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04302,ARLENE ST,NORTHBOUND,W DIMOND BLVD,AK,ANCHORAGE,99502,61.137399,-149.929328,61.137547,-149.929328,0.010222,1.0,America/Anchorage,P1,USA,89,4,N,3,2305,2,0,6,0,10,10,,20033,980,368,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04515,KNIK GOOSE BAY RD,EASTBOUND,HALLIE DR,AK,MATANUSKA-SUSITNA,99623,61.425952,-149.803005,61.500447,-149.665717,7.260838,1.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,2371,207,18,1,3,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04308,VICTOR RD,NORTHBOUND,W DIMOND BLVD,AK,ANCHORAGE,99502,61.1373938,-149.9219324,61.137576,-149.921933,0.012589,3.0,America/Anchorage,P1,USA,91,5,N,3,2305,2,0,6,0,10,10,,27010,1321,496,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04516,KNIK GOOSE BAY RD,EASTBOUND,S VINE RD,AK,MATANUSKA-SUSITNA,99623,61.500447,-149.665717,61.532358,-149.601346,3.153514,2.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,5304,467,37,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04517,KNIK GOOSE BAY RD,EASTBOUND,EDLUND RD,AK,MATANUSKA-SUSITNA,99623,61.532358,-149.601346,61.55647,-149.488629,4.223819,3.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,14944,383,117,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04518,KNIK GOOSE BAY RD,EASTBOUND,AK-3/E PARKS HWY,AK,MATANUSKA-SUSITNA,99654,61.55647,-149.488629,61.580981,-149.4414764,2.571146,4.0,America/Anchorage,P1,USA,136,4,N,3,99998,2,0,2,0,10,10,,15230,395,119,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04314,C ST,NORTHBOUND,O'MALLEY RD,AK,ANCHORAGE,99515,61.122023,-149.8861996,61.1245126,-149.8861066,0.182658,3.0,America/Anchorage,P1,USA,94,3,N,3,2305,1,0,2,0,10,10,,13361,343,104,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04555,BOGARD RD,EASTBOUND,N MAIN ST,AK,MATANUSKA-SUSITNA,99654,61.5849836,-149.4416328,61.5849874,-149.4409694,0.021816,1.0,America/Anchorage,P1,USA,148,4,N,3,99998,2,0,2,0,10,10,,9243,561,204,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04981,23RD,NORTHBOUND,ALASKA ST,AK,SKAGWAY,99840,59.4654114,-135.299,59.4673528,-135.3006524,0.163806,1.0,America/Juneau,P1,USA,4979,3,N,3,99999,2,0,2,98,4,10,,1046,183,76,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04318,OLD SEWARD HWY,NORTHBOUND,AK-1/SEWARD HWY,AK,ANCHORAGE,99516,61.086151,-149.832192,61.088834,-149.836908,0.243242,5.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,6031,255,80,1,56,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04500,AK-3,NORTHBOUND,LATHROP ST,AK,FAIRBANKS NORTH STAR,99701,64.8211356,-147.7773516,64.8215594,-147.7459244,0.933163,62.0,America/Anchorage,P1,USA,131,1,N,1,28549,2,0,2,3,4,10,,13834,880,171,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04984,AK-98,NORTHBOUND,STARLIGHT DR,AK,SKAGWAY,99840,59.4673528,-135.3006524,59.484331,-135.284019,1.424269,1.0,America/Juneau,P1,USA,4982,3,N,3,99999,2,0,2,98,4,10,,972,88,31,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04501,AK-3,NORTHBOUND,AK-2/RICHARDSON HWY,AK,FAIRBANKS NORTH STAR,99701,64.821126,-147.742951,64.820391,-147.709272,0.997984,64.0,America/Anchorage,P1,USA,131,1,N,1,28549,2,0,2,3,4,10,,13957,888,172,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04199,AK-1,SOUTHBOUND,AK-4/RICHARDSON HWY (GLENNALLEN) (NORTH),AK,VALDEZ-CORDOVA,99588,62.301557,-145.3048258,62.289115,-145.3530686,1.858751,15.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,503,66,43,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04985,AK-98,NORTHBOUND,USA--CAN NATIONAL BORDER,AK,SKAGWAY,99840,59.484331,-135.284019,59.6362644,-135.1586684,12.163605,2.0,America/Juneau,P3,USA,4982,3,N,3,99999,2,0,2,98,4,10,,376,68,28,1,97,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04198,AK-1,SOUTHBOUND,AK-4/RICHARDSON HWY (GLENNALLEN) (SOUTH),AK,VALDEZ-CORDOVA,99588,62.193494,-145.4454662,62.1090126,-145.4760438,6.051911,17.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1003,155,100,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04319,OLD SEWARD HWY,NORTHBOUND,DE ARMOUN RD,AK,ANCHORAGE,99515,61.094064,-149.844182,61.094172,-149.844328,0.00891,1.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,2,0,10,10,,2361,72,6,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04191,AK-1,SOUTHBOUND,MOKI DR,AK,MATANUSKA-SUSITNA,99674,61.709468,-148.8774626,61.7058146,-148.9474902,2.400114,35.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,2562,185,84,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04190,AK-1,SOUTHBOUND,MILE 58 RD,AK,MATANUSKA-SUSITNA,99674,61.7058146,-148.9474902,61.6927022,-148.9684938,1.198376,36.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,2755,183,81,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04193,AK-1,SOUTHBOUND,FISH LAKE RD,AK,MATANUSKA-SUSITNA,99674,61.7849528,-148.453799,61.7616842,-148.5764814,4.549455,32.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1964,193,93,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04192,AK-1,SOUTHBOUND,CHICKALOON,AK,MATANUSKA-SUSITNA,99674,61.733843,-148.7504028,61.709468,-148.8774626,4.841878,34.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1964,193,93,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
